Bibliotek|Alternativt biblioteksnamn|Sigel|Bibliotekstyp|Gatuadress|Postnummer|Ort|Besöksadress|Latitud|Longitud|Län|Kommunkod|Telefonnummer|E-post|Webbadress|Geocode
Burlövs bibliotek||Arlo|folkbib|Box 43|23221|Arlöv|Lommavägen 2|55.632248|13.070791|LM|1231|040-625 62 74|bibliotek.arlov@burlov.se|http://www.burlov.se/bibliotek|Lommavägen 2, 23221, Arlöv, Sweden
Arvidsjaurs kommunbibliotek||Arvi|folkbib|Box 703|933 27|Arvidsjaur|Storgatan 12|65.59305860000001|19.1726046|BD|2505|096015782|biblioteket@arvidsjaur.se|http://www.arvidsjaur.se/sv/BoLeva1/Kultur-och-Fritid/Bibliotek/|Storgatan 12, 933 27, Arvidsjaur, Sweden
Arvika bibliotek||Arvk|folkbib|Arvika kommun 39, Biblioteket|671 81|Arvika|Kyrkogatan 39 A|59.655998|12.588029|S|1784|057081841|biblioteket@arvika.se|http://www.arvika.se/|Kyrkogatan 39 A, 671 81, Arvika, Sweden
Askersunds bibliotek||Aske|folkbib|Lilla Bergsgatan 12 A|696 30|Askersund||58.8796569|14.9068445|T|1882|058381095|bibliotek@askersund.se|http://www.askersund.se/bibliotek|Lilla Bergsgatan 12 A, 696 30, Askersund, Sweden
Avesta bibliotek||Ave|folkbib|Box 505|774 27|Avesta|Kungsgatan 32, 774 30 Avesta|60.1461619|16.1667696|W|2084|0226645186|bibliotek@avesta.se|http://bibliotek.avesta.se/web/arena|Kungsgatan 32, 774 30 Avesta, 774 27, Avesta, Sweden
Bengtsfors bibliotek||Benf|folkbib|Box 14|666 21|Bengtsfors|Tingshustorget|59.0286479|12.2287722|O|1460|0531526347|bibliotek@bengtsfors.se|http://bibliotekdalsland.se/web/arena|Tingshustorget, 666 21, Bengtsfors, Sweden
Nordanstigs kommunbibliotek||Bers|folkbib|Box 56|820 70|Bergsjö|Hundskinnsvägen 1|61.9803101|17.0589259|X|2132|065236200|bergsjo.bibliotek@nordanstig.se|http://www.nordanstig.se/|Hundskinnsvägen 1, 820 70, Bergsjö, Sweden
Berzeliusskolan||Berz|skolbib|Box 3129|580 03|Linköping|Gustaf Adolfsgatan 25|58.4161803|15.6107936|E|0580|013207480|tony.strid@linkoping.se|http://www.linkoping.se/berzeliusbibliotek|Gustaf Adolfsgatan 25, 580 03, Linköping, Sweden
Birgittaskolan||Birg|gymbib|Klostergatan 49|581 81|Linköping||58.4065362|15.6252457|E|0580|013263071|lena.duner@linkoping.se||Klostergatan 49, 581 81, Linköping, Sweden
Bjurholms bibliotek||Bjur|folkbib|Castorskolan Skolgatan 15|916 31|Bjurholm||63.9318643|19.2128758|AC|2403|093214061|karin.gulliksson@bjurholm.se|http://bjurholm.se/|Castorskolan Skolgatan 15, 916 31, Bjurholm, Sweden
Bjuvs kommunbibliotek||Bjuv|folkbib|Box 501|267 25|Bjuv|Norra Storgatan 3 C, 267 31 Bjuv|56.0857889|12.9155082|LM|1260|0424585230|biblioteket.bjuv@bjuv.se|http://www.bjuv.se/|Norra Storgatan 3 C, 267 31 Bjuv, 267 25, Bjuv, Sweden
Bjärreds bibliotek||Bjar|folkbib|Folkungavägen 6|237 34|Bjärred|Folkungavägen 6|55.7210444|13.0234616|LM|1262|0406411793|bjerred.bibliotek@lomma.se|http://www.lomma.se/lib|Folkungavägen 6, 237 34, Bjärred, Sweden
Bodens stadsbibliotek||Bode|folkbib|Kungsgatan 51|961 35|Boden||65.82482709999999|21.6857985|BD|2582|092162480|biblioteket@boden.se|https://www.bibblo.se/|Kungsgatan 51, 961 35, Boden, Sweden
Björknäsgymnasiet||Bogy|gymbib|Idrottsgatan 4|961 64|Boden||65.82811510000001|21.6795915|BD|2582|092162525|rune.karlsten@edu.boden.se|http://www.boden.se/bodens-kommun/utbildning_bjorknasgymnasietskolanmedkunskapenicentrum_bjorknasgymnasietsbibliotek|Idrottsgatan 4, 961 64, Boden, Sweden
Bollebygds bibliotek||Bole|folkbib|Odens väg 16|517 36|Bollebygd|Odinslund|57.6726844|12.5686606|O|1443|033231420|biblioteket@bollebygd.se|http://www.bollebygd.se/|Odinslund, 517 36, Bollebygd, Sweden
Bollnäs bibliotek||Boln|folkbib|Odengatan 17 B|821 43|Bollnäs||61.350172|16.395539|X|2183|027825131|bibliotek.bollnas@bollnas.se|http://www.bollnas.se/kommun/bibliotek|Odengatan 17 B, 821 43, Bollnäs, Sweden
Borlänge bibliotek||Borb|folkbib|Sveatorget 5|78433|Borlänge|Sveatorget|60.487187|15.4341032|W|2081|024374390|biblioteket@borlange.se|http://www.borlange.se/bibliotek|Sveatorget, 78433, Borlänge, Sweden
Borgholms bibliotek||Borg|folkbib|Box 116|387 22|Borgholm|Trädgårdsgatan 20|56.8786504|16.6571376|H|0885|048588070|biblioteket@borgholm.se|http://bibliotek.borgholm.se/|Trädgårdsgatan 20, 387 22, Borgholm, Sweden
Tumba bibliotek||Botb|folkbib|Tumba torg 105|147 30|Tumba|Tumba torg 105|59.1988632|17.8345427|AB|0127|0853062931|tumba.bibliotek@botkyrka.se|http://bibliotek.botkyrka.se/|Tumba torg 105, 147 30, Tumba, Sweden
Boxholms kommunbibliotek||Boxh|folkbib|Box 64|590 10|Boxholm|Storgatan 20|58.197038|15.053287|E|0560|014289540|biblioteket@boxholm.se|http://www.gotabiblioteken.se/web/boxholm|Storgatan 20, 590 10, Boxholm, Sweden
Brinellgymnasiet||Brin|skolbib|Brinellgatan 52|571 35|Nässjö||57.6685388|14.701119|F|0682|0380518344|helena.lindman@nassjo.se|http://www.brinell.nassjo.se/|Brinellgatan 52, 571 35, Nässjö, Sweden
Östra Göinge bibliotek|Broby bibliotek|Brob|folkbib|Skolgatan 1|280 60|Broby|Skolgatan 1, 280 60 Broby|56.256768|14.0743863|LM|1256|044 775 61 40|biblioteket.broby@ostragoinge.se|http://www.ostragoinge.se/uppleva/bibliotek-3/|Skolgatan 1, 280 60 Broby, 280 60, Broby, Sweden
Bromölla folkbibliotek||Brom|folkbib|Box 6|295 21|Bromölla|Hermansens gata 22|56.0745941|14.4701691|LM|1272|0456822222|biblioteket@bromolla.se|http://www.bromolla.se|Hermansens gata 22, 295 21, Bromölla, Sweden
Brobyskolan, Sunne kommun 39||Bros|skolbib|Brårudsvägen 4|686 80|Sunne||59.8420104|13.1591846|S|1766|056516117||http://|Brårudsvägen 4, 686 80, Sunne, Sweden
Bruksgymnasiet||Bruk|gymbib|Box 42|747 02|Gimo|Gymnasievägen 1|60.1731747|18.1697378|C|0382|017386626|karin.rehnstrom@edu.osthammar.se||Gymnasievägen 1, 747 02, Gimo, Sweden
Bräcke bibliotek||Brac|folkbib|Box 133|840 60|Bräcke|Hantverksgatan 27|62.7495564|15.4216592|Z|2305|069316240|biblioteket.bracke@bracke.se|http://www.bibliotekmitt.se/|Hantverksgatan 27, 840 60, Bräcke, Sweden
Bäckängsgymnasiet||Bsb2|gymbib||50180|Borås|PA Halls terrass 7|57.7238469|12.9510171|O|1490|033357944|backangsbiblioteket@boras.se|http://www.boras.se/forvaltningar/utbildningsforvaltningen/utbildningsforvaltningen/gymnasieutbildning/backangsgymnasiet/backangsgymnasiet/bibliotek.4.5eb068a913f1e2da4d18000434.html|PA Halls terrass 7, 50180, Borås, Sweden
Almåsgymnasiet||Bsb3|gymbib|Alingsåsvägen 36|504 38|Borås|Alingsåsvägen 36|57.7241491|12.9270158|O|1490|033357808|almas.bibliotek@boras.se|http://www.boras.se/4.82f0a312665003f0d800042757.html|Alingsåsvägen 36, 504 38, Borås, Sweden
Burseryds bibliotek||Burs|folkbib|Skolgatan|320 26|Burseryd||57.1974123|13.2803771|F|0662|037150483||http://|Skolgatan, 320 26, Burseryd, Sweden
Håbo folkbibliotek||Bals|folkbib|Box 94|746 22|Bålsta|Bildningscentrum Jan Fridegård|59.568753|17.5290192|C|0305|017152600|biblioteket@bildning.habo.se|http://www.habo.se|Bildningscentrum Jan Fridegård, 746 22, Bålsta, Sweden
Båstads bibliotek||Bast|folkbib|Vångavägen 9|269 31|Båstad|Lyckan 7, Båstad|56.426198|12.8482903|LM|1278|043177088|bastad.bibliotek@bastad.se|http://www.bastad.se/bibliotek|Lyckan 7, Båstad, 269 31, Båstad, Sweden
Christian IV:s skola||Chri|skolbib|Östra Boulevarden 13|291 51|Kristianstad||56.0273271|14.1613287|LM|1290|044135217|anna.kinell@kristianstad.se|http://c4gymnasium.se/index.php/biblioteket|Östra Boulevarden 13, 291 51, Kristianstad, Sweden
Danderyds bibliotek||Dand|folkbib|Mörby centrum, Box 114|182 12|Danderyd|Mörby centrum|59.398415|18.036657|AB|0162|0856891190|bibliotek@danderyd.se|http://www.danderyd.se/Biblioteken|Mörby centrum, 182 12, Danderyd, Sweden
Degerfors bibliotek||Dege|folkbib|20. |693 80|Degerfors||59.2369217|14.4315567|T|1862|058648110|biblioteket@degerfors.se|http://www.degerfors.se/|20. , 693 80, Degerfors, Sweden
Dorotea bibliotek||Doro|folkbib||917 81|Dorotea||64.262387|16.416568|AC|2425|094214078|biblioteket@dorotea.se|http://www.v8biblioteken.se/|Dorotea bibliotek, 917 81, Dorotea, Sweden
Katedralskolan||Dral|gymbib|St Södergatan 22|222 23|Lund|St Södergatan 22|55.7003712|13.1898385|LM|1281|046357625|bibliotek.katte@utb.lund.se|http://www.lund.se/Gymnasieskolor/Katedralskolan/Bibliotek/|St Södergatan 22, 222 23, Lund, Sweden
Årebiblioteken||Duve|folkbib|Box 53|830 15|Duved||63.3924767|12.9175818|Z||064726216|margareta.alvskog@are.se|http://www.are.se|Årebiblioteken, 830 15, Duved, Sweden
Dals Eds bibliotek||Ed|folkbib|Box 52|668 21|Ed|Torget 1|58.911747|11.9332701|O|1438|053419065|biblioteket@dalsed.se|http://www.dalsed.se|Torget 1, 668 21, Ed, Sweden
Eda kommunbibliotek||Eda|folkbib|Kyrkogatan 4|673 22|Charlottenberg||59.883062|12.305902|S||057128230|biblioteket@eda.se|http://www.bibliotekvarmland.se/|Kyrkogatan 4, 673 22, Charlottenberg, Sweden
Lilla Edets bibliotek||Edet|folkbib|Lilla Edets KommunBiblioteket|46380|Lilla Edet|Göteborgsvägen 63|58.1339702|12.1264503|O|1462|0520659690|biblioteket@lillaedet.se|http://lillaedet.se/upplevagora/bibliotek.407.html|Göteborgsvägen 63, 46380, Lilla Edet, Sweden
Edsbyns bibliotek|828 31 Edsbyn|Edsb|folkbib|Box 17|828 21|Edsbyn|Västra Centralgatan 15 A|61.378641|15.815597|X|2121|027157151|edsbyns.bibliotek@ovanaker.se|http://www.ovanaker.se/bibliotek|Västra Centralgatan 15 A, 828 21, Edsbyn, Sweden
Ekerö folkbibliotek||Eker|folkbib|Box 206|178 23|Ekerö|Mälarö torg 7|59.290006|17.8112472|AB|0125|08-12457300|bibliotek@ekero.se|http://www.ekero.se/|Mälarö torg 7, 178 23, Ekerö, Sweden
Eksjö stadsbibliotek||Eksj|folkbib|Kaserngatan 20 B|575 80|Eksjö|Kaserngatan 20 B|57.67163|14.976125|F|0686|038136100|stadsbiblioteket@eksjo.se|http://www.eksjo.se/biblioteket/|Kaserngatan 20 B, 575 80, Eksjö, Sweden
Emmaboda bibliotek||Emma|folkbib|Box 67|361 21|Emmaboda|Götgatan 6|56.630219|15.5420627|H|0862|0471249200|biblioteket@emmaboda.se|http://www.emmaboda.se/bibliotek|Götgatan 6, 361 21, Emmaboda, Sweden
Enköpings kommunbibliotek||Enko|folkbib|Box 909|745 25|Enköping|Ågatan 29|59.6338936|17.0735197|C|0381|0171-62 55 10|bibliotek.fjarrlan@enkoping.se|http://bibliotekenkoping.se/|Ågatan 29, 745 25, Enköping, Sweden
Eslövs stadsbibliotek||Eslo|folkbib|Box 255|241 24|Eslöv|Norregatan 9|55.8408656|13.3036289|LM|1285|041362600|stadsbiblioteket@eslov.se|http://www.eslov.se/bibliotek|Norregatan 9, 241 24, Eslöv, Sweden
Essunga bibliotek||Essu|folkbib|Nossebro skola|465 21|Nossebro|Sturegatan 6|58.1904198|12.7186655|O|1445|051257047|essunga.folkbibliotek@essunga.se|http://www.essunga.se/|Sturegatan 6, 465 21, Nossebro, Sweden
Falköpings bibliotek||Fab|folkbib||521 81|Falköping|St. Sigfridsgatan 11|58.1697396|13.5561137|O|1499|0515885040|biblioteket@falkoping.se|http://www.falkopingsbibliotek.se/|St. Sigfridsgatan 11, 521 81, Falköping, Sweden
Fagersta bibliotek||Fage|folkbib|Västmannavägen 12|737 80|Fagersta||60.0052819|15.7917612|U|1982|022344240|fagersta.bibliotek@fagersta.se|http://opac.fagersta.se|Västmannavägen 12, 737 80, Fagersta, Sweden
Falkenbergs Bibliotek||Falk|folkbib|Biblioteksgatan 2|311 35|Falkenberg|Biblioteksgatan 2|56.9070029|12.4890816|N|1382|0346886370|biblioteket@falkenberg.se|http://www.falkenberg.se/bibliotek|Biblioteksgatan 2, 311 35, Falkenberg, Sweden
Finspångs bibliotek||Fibi|folkbib|Finnvedsvägen 4|612 30|Finspång|Finnvedsvägen 4|58.706787|15.773996|E|0562|012285066|bibliotek@finspang.se|http://www.gotabiblioteken.se/|Finnvedsvägen 4, 612 30, Finspång, Sweden
Filbornaskolan|256 61 Helsingborg|Filb|skolbib| |251 89 |Helsingborg|Filbornavägen 101|56.0561534|12.7320913|LM|1283|042102414|ing-marie.rasmusson@helsingborg.se|http://www.helsingborg.se/filbornaskolan|Filbornavägen 101, 251 89 , Helsingborg, Sweden
Filipstad bergslags bibliotek||Fili|folkbib|Box 308|682 27|Filipstad|Viktoriagatan 8|59.712866|14.17237|S|1782|0590 61359|biblioteket@filipstad.se|http://www.filipstad.se/bibliotek|Viktoriagatan 8, 682 27, Filipstad, Sweden
Lekebergs bibliotek||Fjug|folkbib|Bangatan 7|716 81|Fjugesta||59.1747478|14.8714727|T|1814|0585-487 90|biblioteket@lekeberg.se|http://www.lekeberg.se/biblioteket|Bangatan 7, 716 81, Fjugesta, Sweden
Flens stadsbibliotek||Flen|folkbib|Box 211|642 23|Flen|Drottninggatan 3|59.0593332|16.589618|D|0482|015719295|flensbibliotek@flen.se|http://www.flen.se|Drottninggatan 3, 642 23, Flen, Sweden
Forshaga bibliotek||Forh|folkbib|Box 93|667 22|Forshaga|Malmgatan 2 A|59.52922|13.480236|S|1763|054-17 22 20|bibliotek@forshaga.se|http://www.bibliotekvarmland.se/|Malmgatan 2 A, 667 22, Forshaga, Sweden
Friaborgsskolan|Österlengymnasiets bibliotek|Fria|gymbib|Fredsdalsgatan 7|272 24|Simrishamn|Fredsdalsgatan 7|55.5585502|14.3320667|LM|1291|0414819534|richard.sturesson@simrishamn.se|http://www.simrishamn.se/sv/barn_utbildning/gymnasieskola/osterlengymnasiet/bibliotek/|Fredsdalsgatan 7, 272 24, Simrishamn, Sweden
Fritsla bibliotek||Frit|folkbib|Idrottsvägen 9|510 20|Fritsla||57.5577891|12.7855095|O|1463|032072008|||Idrottsvägen 9, 510 20, Fritsla, Sweden
Furuhedsskolan||Furu|gymbib|Box 303|952 23|Kalix||65.8551403|23.1667876|BD|2514|092365158||http://dvg.furu.kalix.se/info/|Furuhedsskolan, 952 23, Kalix, Sweden
Färgelanda kommunbibliotek||Farg|folkbib|Box 54|458 21|Färgelanda|Timmervägen 12|58.5682923|11.9959247|O|1439|0528567500|biblioteket@fargelanda.se|http://www.fargelanda.se/|Timmervägen 12, 458 21, Färgelanda, Sweden
Förslövs bibliotek||Forb|folkbib|Bokesliden 20|26971|Förslöv||56.3552268|12.8188743|LM|1278|0431-77241|forslov.bibliotek@bastad.se|http://www.biblioteksnv.se/|Bokesliden 20, 26971, Förslöv, Sweden
Gagnefs kommunbibliotek, Djurås bibliotek||Gagn|folkbib|Södra industrivägen 8|785 61|Djurås||60.5596265|15.1345738|W|2026|024115205|bibliotek.djuras@gagnef.se|www.gagnef.se/bibliotek|Södra industrivägen 8, 785 61, Djurås, Sweden
Gimo bibliotek||Gimo|folkbib|Köpmangatan 2|747 43|Gimo||60.1734124|18.184838|C|0382|017340902||http://|Köpmangatan 2, 747 43, Gimo, Sweden
Gislaveds bibliotek||Gisl|folkbib|Gislegatan 7|332 33|Gislaved|Gislegatan 5, 33233 Gislaved|57.2939804|13.5334037|F|0662|0371-81938|gislaveds.bibliotek@gislaved.se|http://www.gislaved.se/bibliotek|Gislegatan 5, 33233 Gislaved, 332 33, Gislaved, Sweden
Gnesta bibliotek||Gnes|folkbib|Marieströmsgatan 3|646 80|Gnesta||59.0479296|17.3105307|D|0461|0158275294|biblioteket@gnesta.se|http://www.gnesta.se/biblioteket|Marieströmsgatan 3, 646 80, Gnesta, Sweden
Gnosjö bibliotek||Gnos|folkbib|Box 133|335 23|Gnosjö|Storgatan 8|57.357565|13.733318|F|0617|0370331138|biblioteket@gnosjo.se|http://www.gnosjo.se/|Storgatan 8, 335 23, Gnosjö, Sweden
Grums bibliotek||Grum|folkbib|Grums kommun|664 80|Grums|Sveagatan 79|59.3515247|13.1110323|S|1764|055542050|biblioteket@grums.se|http://www.bibliotekvarmland.se/web/arena|Sveagatan 79, 664 80, Grums, Sweden
Grästorps kommunbibliotek||Gras|folkbib|Oskarsgatan 25|467 30|Grästorp|Oskarsgatan 25|58.3345093|12.6826224|O|1444|051458032|yvonne.tosthage@grastorp.se|http://www.grastorp.se/|Oskarsgatan 25, 467 30, Grästorp, Sweden
Göteborgs kommun||Gsk1|specbib||404 82|Göteborg||57.6741876|12.0090739|O|1480|031612488|||Göteborgs kommun, 404 82, Göteborg, Sweden
Göteborgs kommun||Gsk6|specbib|Box 2359|403 15|Göteborg|Otterhällegatan 5|57.7050456|11.9596214|O|1480|0317015042|tfb@arkivnamnden.goteborg.se|http://|Otterhällegatan 5, 403 15, Göteborg, Sweden
Gullstrandskolan||Gubi|skolbib|Box 634|261 25|Landskrona|Idrottsvägen 35|55.8924708|12.8438338|LM|1282|0418473041|margareta.nilsson@landskrona.se|http://lks-gy.org|Idrottsvägen 35, 261 25, Landskrona, Sweden
Gullmarsgymnasiet||Gugy|gymbib|Rinkenäsgatan 2|453 30|Lysekil|Rinkenäsgatan 2|58.2748555|11.4208317|O|1484|0523613533|biblioteketcampusvast@lysekil.se|http://www.lysekil.se/invanare/barnomsorgochutbildning/gymnasieskola/biblioteket.4.2601f6c411ff9b44aca80004255.html/|Rinkenäsgatan 2, 453 30, Lysekil, Sweden
Gullspångs kommunbibliotek||Gull|folkbib|Hemgatan 12|547 31|Gullspång||58.980272|14.087061|O|1447|055136005 - 36007|gullspang.bibliotek@gullspang.se|http://bibliotek.gullspang.se/|Hemgatan 12, 547 31, Gullspång, Sweden
Värmdö Bibliotek||Gust|folkbib|Runda Huset|134 81|Gustavsberg|Bagarvägen 2|59.326307|18.390182|AB|0120|0857048227|informationsdisk.biblioteket@varmdo.se|http://www.varmdo.se/upplevaochgora/bibliotek.4.e6cd67914102d10130899a.html|Bagarvägen 2, 134 81, Gustavsberg, Sweden
Gävle stadsbibliotek||Gav|folkbib|Box 801 |801 30|Gävle|Slottstorget 1|60.673181|17.147058|X|2180|026179600|fjarrlan@gavle.se|http://www.gavle.se/bibliotek|Slottstorget 1, 801 30, Gävle, Sweden
Gällö bibliotek||Galo|folkbib|Skolvägen 4|840 50|Gällö||62.9144399|15.2358275|Z|2305|069316480|biblioteket.gallo@bracke.se|http://www.bibliotekmitt.se/bracke|Skolvägen 4, 840 50, Gällö, Sweden
Götene bibliotek||Gote|folkbib||533 80|Götene|Torgg 4, Centrumhuset|58.5277055|13.4945404|O|1471|0511386080|biblioteket@gotene.se|http://www.gotene.se/|Torgg 4, Centrumhuset, 533 80, Götene, Sweden
Hallsbergs bibliotek||Habg|folkbib|.|694 80|Hallsberg|Västra Storgatan 10|59.065681|15.1060412|T|1861|0582685363|bibliotek.hallsberg@hallsberg.se|http://www.hallsberg.se/upplevagora/bibliotek.4.6607565713b6f3c0f0ec24.html|Västra Storgatan 10, 694 80, Hallsberg, Sweden
Habo bibliotek||Habo|folkbib|Box 206|566 24|Habo|Jönköpingsvägen 2|57.9089354|14.0738562|F|0643|0364428020|biblioteket@habokommun.se|http://www.habokommun.se/|Jönköpingsvägen 2, 566 24, Habo, Sweden
Haninge kommun||Haf2|folkbib||136 81|Västerhaninge||59.157642|18.1352649|AB||086067350||http://|Haninge kommun, 136 81, Västerhaninge, Sweden
Haninge bibliotek, Handen||Hafb|folkbib|Kulturhuset|136 81|Haninge|Poseidons Torg 8|59.1672448|18.1398904|AB|0136|086068593|bibliotekethanden@haninge.se|http://bibliotek.haninge.se/web/arena|Poseidons Torg 8, 136 81, Haninge, Sweden
Hagfors bibliotek||Hagf|folkbib||683 80|Hagfors|Älvstrandsvägen 2|60.036943|13.700874|S|1783|056318770|biblioteket@hagfors.se|http://www.hagfors.se/invanare/bibliotek|Älvstrandsvägen 2, 683 80, Hagfors, Sweden
Härnösands gymnasium||Hagy|gymbib|Box 54|871 22|Härnösand|Brunnshusgatan 20|62.6365645|17.9508589|Y|2280|0611348467|sara.westman@harnosand.se|http://www.harnosand.se/gymnasiet|Brunnshusgatan 20, 871 22, Härnösand, Sweden
Årebiblioteken||Hale|folkbib|Hallenvägen 30|830 01|Hallen|Hallenvägen 30|63.1760838|14.0947917|Z||064330189|elisabet.livendahl@are.se|http://www.are.se|Hallenvägen 30, 830 01, Hallen, Sweden
Hallstahammars bibliotek||Hall|folkbib|Box 3|734 21|Hallstahammar|Parkgatan 7|59.6138744|16.2309507|U|1961|022024110|biblioteket@hallstahammar.se|http://www.hallstahammar.se/bibliotek|Parkgatan 7, 734 21, Hallstahammar, Sweden
Hammarö bibliotek||Hama|folkbib|Box 46|663 21|Skoghall|Skogåsvägen 3|59.323924|13.468352|S|1761|054515200|biblioteket@hammaro.se|http://www.hammaro.se/kultur.htm|Skogåsvägen 3, 663 21, Skoghall, Sweden
Ragunda kommun||Hamm|folkbib|Centralgatan 55|840 70|Hammarstrand||63.1027645|16.3585919|Z||0696682214|biblioteket.hammarstrand@ragunda.se|http://www.bibliotekmitt.se/Hammarstrand?refid=100694|Centralgatan 55, 840 70, Hammarstrand, Sweden
Sotenäs kommunbibliotek||Hamn|folkbib|Hallindenvägen 2A|456 34|Kungshamn||58.3574633|11.2593197|O|1427|0523664654||http://|Hallindenvägen 2A, 456 34, Kungshamn, Sweden
Haparanda stadsbibliotek||Hapa|folkbib|Packhusgatan 4|953 31|Haparanda||65.83661840000001|24.1394859|BD|2583|092215067|biblioteket@haparanda.se|http://www.bibblo.se/haparanda-stadsbibliotek/start|Packhusgatan 4, 953 31, Haparanda, Sweden
Halmstads stadsbibliotek||Hasb|folkbib|Box 4083|300 04|Halmstad|Axel Olsons gata 1|56.67517|12.862241|N|1380|035137181|bibliotek@halmstad.se|http://bibliotek.halmstad.se/|Axel Olsons gata 1, 300 04, Halmstad, Sweden
Heby bibliotek||Heby|folkbib||744 88|Heby|Centralgatan 1|59.94073|16.857953|C|0331|022436215|sara.rudh@heby.se|http://www.heby.se/index.php3?use=publisher&id=1510&lang=1|Centralgatan 1, 744 88, Heby, Sweden
Hedbergska skolan||Hed|gymbib|Skolhusallén 6|852 37|Sundsvall||62.3894212|17.2994178|Y|2281|060192780||http://www.gymnasium.sundsvall.se/|Skolhusallén 6, 852 37, Sundsvall, Sweden
Hedemora stadsbibliotek||Heds|folkbib|Box 201|776 28|Hedemora|Hökargatan 10 776 30  Hedemora|60.278143|15.9884978|W|2083|022534184|biblioteket@hedemora.se|http://www.hedemorabibliotek.se/|Hökargatan 10 776 30  Hedemora, 776 28, Hedemora, Sweden
Helenholms gymnasieskola||Hele|gymbib|Muukhättegatan 1|214 56|Malmö|Muukhättegatan 1|55.5790702|13.0181973|LM|1280|040967360|||Muukhättegatan 1, 214 56, Malmö, Sweden
Orusts kommunbibliotek||Hena|folkbib|Hamntorget 18|473 34|Henån|Hamntorget 18, 473 34 Henån|58.238084|11.678809|O|1421|0304334250|henan.bibliotek@orust.se|http://www.biv.se/|Hamntorget 18, 473 34 Henån, 473 34, Henån, Sweden
Herrljunga folkbibliotek||Herr|folkbib|Box 201|524 23|Herrljunga|Trädgårdsgatan 14|58.0770659|13.0250271|O|1466|051317221|bibliotek@admin.herrljunga.se|http://www.herrljunga.se/kultur|Trädgårdsgatan 14, 524 23, Herrljunga, Sweden
Helsingborgs stadsbibliotek||Hesb|folkbib||251 89|Helsingborg|Bollbrogatan 1|56.0419685|12.6994013|LM|1283|042106900|stadsbiblioteket@helsingborg.se|http://biblioteksnv.se/|Bollbrogatan 1, 251 89, Helsingborg, Sweden
Hestra bibliotek||Hest|folkbib|Fack 124|330 27|Hestra|Mogtan 9|57.4455775|13.5950712|F|0662|0370334613|hestra.bibliotek@gislaved.se|http://www.gislaved.se|Mogtan 9, 330 27, Hestra, Sweden
Hjo stadsbibliotek||Hjo|folkbib|Floragatan 1|544 33|Hjo||58.3038153|14.2901641|O|1497|050335011||http://www.hjo.se/kultur/bibliotek.htm|Floragatan 1, 544 33, Hjo, Sweden
